City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,sayansk,54.1088,102.1648,-14.49,75,100,4.67,RU,1707794610
334,ugep,5.8086,8.0812,25.13,94,4,1.59,NG,1707794611
335,chebba,35.2372,11.115,13.83,79,7,8.45,TN,1707794611
336,solwezi,-12.1688,26.3894,16.74,97,100,1.61,ZM,1707794611
337,rome,34.257,-85.1647,11.93,82,20,5.66,US,1707794450
338,yung shue wan,22.2333,114.1167,22.41,63,83,0.89,HK,1707794611
339,archidona,37.0965,-4.3887,13.84,89,91,2.26,ES,1707794612
340,keflavik,64.0049,-22.5624,0.95,86,20,10.8,IS,1707794612
341,huambo,-12.7761,15.7392,16.42,90,100,0.64,AO,1707794612
342,wuwei,37.9281,102.6414,4.67,18,69,2.02,CN,1707794612
343,port hedland,-20.3167,118.5667,32.03,62,100,4.63,AU,1707794383
344,forbes,-33.3833,148.0167,34.4,30,25,5.6,AU,1707794613
345,winsen,53.3667,10.2167,4.71,99,8,3.9,DE,1707794613
346,mil'kovo,55.6078,37.7956,-3.66,96,100,3.43,RU,1707794613
347,rumst,51.0797,4.4251,4.54,91,0,2.57,BE,1707794614
348,pokaran,26.9167,71.9167,15.14,26,100,3.56,IN,1707794614
349,takoradi,4.8845,-1.7554,26.7,91,12,0.9,GH,1707794614
350,nova sintra,14.8667,-24.7167,19.89,81,100,5.98,CV,1707794614
351,suifenhe,44.4,131.1667,5.41,66,23,6.69,CN,1707794614
352,tyuratam,45.6507,63.3156,-4.61,71,27,3.69,KZ,1707794614
353,jayapura,-2.5333,140.7,31.66,68,82,2.96,ID,1707794615
354,mossel bay,-34.1831,22.146,17.96,80,34,4.0,ZA,1707794615
355,vokhtoga,58.8147,41.0461,-25.2,100,100,1.59,RU,1707794615
356,eastbourne,50.7687,0.2845,8.85,83,96,1.34,GB,1707794615
357,luba,3.4568,8.5547,27.94,89,15,2.86,GQ,1707794615
358,rzhev,56.2624,34.3282,-2.05,95,100,4.19,RU,1707794616
359,nikolayevsk-on-amure,53.1406,140.73,-13.22,81,100,1.69,RU,1707794616
360,ciudad lazaro cardenas,17.9583,-102.2,23.3,76,60,0.33,MX,1707794616
361,kavalerovo,44.2661,135.0572,8.08,64,0,3.13,RU,1707794616
362,usinsk,65.9939,57.5281,-29.4,98,7,1.79,RU,1707794616
363,taoudenni,22.6783,-3.9836,23.93,32,0,4.68,ML,1707794617
364,sale,34.0389,-6.8166,15.38,100,75,2.06,MA,1707794617
365,al bayda',32.7627,21.7551,11.19,66,41,7.3,LY,1707794617
366,taksimo,56.3444,114.8794,-15.56,76,100,1.17,RU,1707794617
367,fort st. john,56.2499,-120.8529,-2.06,40,20,3.09,CA,1707794324
368,cheremukhovo,60.3484,59.9851,-13.91,97,100,0.45,RU,1707794618
369,i-n-salah,27.1935,2.4607,20.45,27,0,3.02,DZ,1707794618
370,viqueque,-8.8673,126.3658,27.61,83,99,1.01,TL,1707794618
371,katabu,-4.9333,122.5167,30.02,64,97,3.26,ID,1707794619
372,coruripe,-10.1256,-36.1756,26.17,81,97,3.63,BR,1707794619
373,suva,-18.1416,178.4415,29.71,84,75,2.06,FJ,1707794619
374,mgandu,-5.95,34.1333,16.84,94,100,1.35,TZ,1707794619
375,kyzylorda,44.8528,65.5092,-0.99,80,0,3.0,KZ,1707794620
376,ikwiriri,-7.9562,38.9716,24.32,98,100,0.65,TZ,1707794620
377,talakan,50.3167,130.3667,-3.68,92,100,0.65,RU,1707794620
378,mpulungu,-8.7623,31.1141,22.45,86,100,1.92,ZM,1707794620
379,pimentel,-6.8367,-79.9342,25.16,83,100,4.12,PE,1707794621
380,hasaki,35.7333,140.8333,15.22,51,2,11.24,JP,1707794621
381,port isabel,26.0734,-97.2086,16.12,65,0,3.58,US,1707794621
382,aykhal,66.0,111.5,-32.96,97,100,2.96,RU,1707794621
383,ca mau,9.1769,105.15,31.36,43,37,4.56,VN,1707794622
384,sechura,-5.5569,-80.8222,27.34,65,96,5.56,PE,1707794622
385,novoanninskiy,50.5287,42.6747,4.16,100,100,2.09,RU,1707794622
386,vredendal,-31.6683,18.5012,18.45,87,94,1.93,ZA,1707794622
387,welver,51.6167,7.9667,5.91,96,46,3.36,DE,1707794622
388,gandajika,-6.75,23.95,19.86,95,40,1.42,CD,1707794623
389,axim,4.8699,-2.2405,27.55,86,13,2.54,GH,1707794623
390,santa ana de yacuma,-13.75,-65.4333,23.91,95,100,2.1,BO,1707794623
391,iglino,54.8324,56.4126,-7.95,95,100,6.43,RU,1707794623
392,kone,-21.0595,164.8658,32.56,51,14,3.0,NC,1707794623
393,tekeli,44.83,78.8239,-9.43,52,15,3.82,KZ,1707794624
394,sitka,57.0531,-135.33,2.94,87,0,2.06,US,1707794624
395,abha,18.2164,42.5053,12.14,82,40,2.06,SA,1707794624
396,sheregesh,52.9209,87.9869,-16.47,94,100,2.51,RU,1707794624
397,vanimo,-2.6741,141.3028,29.69,67,93,2.77,PG,1707794624
398,kiunga,-6.1219,141.2906,31.48,61,100,0.71,PG,1707794625
399,gashua,12.871,11.0482,20.54,12,0,4.3,NG,1707794625
400,road town,18.4167,-64.6167,24.05,73,0,6.78,VG,1707794625
401,sonderborg,54.9093,9.8074,4.93,87,75,3.09,DK,1707794625
402,kambove,-10.8764,26.5969,15.97,97,100,1.59,CD,1707794625
403,zawadzkie,50.605,18.4847,4.45,93,97,3.15,PL,1707794625
404,barcelos,41.5388,-8.6151,14.08,94,100,2.54,PT,1707794517
405,lamu,-2.2717,40.902,24.14,96,27,1.76,KE,1707794626
406,tobruk,32.0836,23.9764,14.95,66,11,7.57,LY,1707794626
407,newman,37.3138,-121.0208,12.13,79,60,1.65,US,1707794634
408,qamdo,31.1667,97.2333,-4.42,30,1,2.85,CN,1707794635
409,ballina,-28.8667,153.5667,28.77,57,93,4.22,AU,1707794635
410,vorkuta,67.5,64.0,-35.84,99,37,2.53,RU,1707794635
411,nyagan,62.1406,65.3936,-33.05,100,100,1.86,RU,1707794635
412,oranjemund,-28.55,16.4333,17.58,96,62,3.42,NA,1707794635
413,nagqu,31.5,92.0,-8.96,32,100,3.16,CN,1707794636
414,cockburn town,21.4612,-71.1419,25.24,76,0,9.31,TC,1707794636
415,kuchaiburi,22.2667,86.1667,23.3,36,70,0.85,IN,1707794636
416,porto novo,6.4965,2.6036,26.55,86,0,2.26,BJ,1707794636
417,dunedin,-45.8742,170.5036,24.36,36,46,2.42,NZ,1707794636
418,ban karon,7.8477,98.2985,29.95,72,4,8.01,TH,1707794637
419,remire-montjoly,4.9167,-52.2667,27.02,89,75,3.6,GF,1707794637
420,happy valley-goose bay,53.3168,-60.3315,-6.83,93,100,2.57,CA,1707794420
421,archangelos,36.2149,28.1149,11.84,81,100,2.62,GR,1707794637
422,dakhla,23.6848,-15.958,19.51,77,60,4.33,EH,1707794637
423,olinda,-8.0089,-34.8553,27.85,83,75,3.6,BR,1707794638
424,salekhard,66.53,66.6019,-36.98,98,9,1.86,RU,1707794638
425,contai,21.7786,87.7536,24.27,35,40,1.1,IN,1707794638
